"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2020","3,758.35","3,733.91","3,758.73","3,672.57","41.47M","0.35%"
"04/01/2020","3,745.11","3,722.99","3,751.20","3,680.39","52.68M","0.28%"
"03/31/2020","3,734.69","3,739.92","3,779.30","3,691.36","72.96M","-0.25%"
"03/30/2020","3,744.13","3,878.84","3,893.10","3,738.70","70.80M","-3.47%"
"03/29/2020","3,878.84","3,759.54","3,885.67","3,688.97","61.55M","2.87%"
"03/26/2020","3,770.73","3,907.14","3,909.74","3,768.38","30.01M","-3.84%"
"03/25/2020","3,921.39","3,653.93","3,923.74","3,653.93","93.30M","7.39%"
"03/24/2020","3,651.40","3,443.35","3,719.84","3,431.64","51.99M","6.08%"
"03/23/2020","3,442.09","3,552.61","3,552.61","3,429.42","43.13M","-3.11%"
"03/22/2020","3,552.61","3,674.88","3,674.88","3,552.61","35.58M","-3.61%"
"03/19/2020","3,685.56","3,397.07","3,715.25","3,307.53","108.11M","8.41%"
"03/18/2020","3,399.61","3,326.91","3,475.71","3,304.36","82.38M","2.29%"
"03/17/2020","3,323.35","3,549.06","3,555.98","3,323.11","122.68M","-6.33%"
"03/16/2020","3,548.04","3,843.65","3,843.65","3,548.04","112.43M","-7.83%"
"03/15/2020","3,849.25","3,930.32","3,976.81","3,751.75","64.36M","-1.86%"
"03/12/2020","3,922.18","4,228.78","4,228.78","3,921.41","140.20M","-7.40%"
"03/11/2020","4,235.51","4,267.73","4,290.78","4,225.18","57.84M","-0.64%"
"03/10/2020","4,262.64","4,034.13","4,310.34","4,031.33","76.42M","5.52%"
"03/09/2020","4,039.59","4,363.83","4,363.83","4,009.12","143.92M","-8.06%"
"03/08/2020","4,393.85","4,625.79","4,625.79","4,326.76","70.12M","-5.37%"
"03/05/2020","4,643.09","4,669.66","4,683.91","4,607.74","38.11M","-0.57%"
"03/04/2020","4,669.66","4,804.14","4,804.14","4,655.55","37.17M","-2.84%"
"03/03/2020","4,806.18","4,763.85","4,870.43","4,763.85","33.77M","0.90%"
"03/02/2020","4,763.48","4,724.16","4,824.84","4,724.16","38.79M","0.84%"
"03/01/2020","4,723.82","4,894.81","4,894.81","4,686.32","68.87M","-3.62%"
"02/27/2020","4,901.43","4,889.67","4,987.96","4,881.67","42.14M","0.22%"
"02/26/2020","4,890.68","4,931.32","4,953.82","4,884.75","44.33M","-0.93%"
"02/25/2020","4,936.37","4,927.26","4,979.44","4,920.12","44.33M","0.11%"
"02/24/2020","4,931.04","5,041.86","5,043.49","4,929.51","61.31M","-2.20%"
"02/23/2020","5,041.86","5,033.98","5,061.09","5,032.93","21.54M","0.17%"
"02/20/2020","5,033.15","5,073.99","5,073.99","5,032.47","29.82M","-0.80%"
"02/19/2020","5,073.82","5,054.68","5,073.82","5,048.38","81.62M","0.36%"
"02/18/2020","5,055.74","5,081.34","5,081.34","5,054.07","27.42M","-0.53%"
"02/17/2020","5,082.46","5,063.64","5,082.50","5,061.27","37.30M","0.39%"
"02/16/2020","5,062.82","5,038.40","5,065.10","5,038.02","22.58M","0.50%"
"02/13/2020","5,037.46","5,065.80","5,068.79","5,017.92","46.55M","-0.56%"
"02/12/2020","5,065.69","5,074.44","5,079.26","5,062.65","50.08M","-0.15%"
"02/11/2020","5,073.38","5,092.45","5,093.64","5,065.37","50.62M","-0.39%"
"02/10/2020","5,093.38","5,090.47","5,106.24","5,088.05","33.31M","0.06%"
"02/09/2020","5,090.21","5,087.27","5,104.07","5,083.66","30.59M","0.06%"
"02/06/2020","5,087.21","5,080.85","5,098.06","5,070.97","40.57M","0.13%"
"02/05/2020","5,080.79","5,095.54","5,106.53","5,059.90","94.88M","-0.29%"
"02/04/2020","5,095.52","5,076.27","5,108.30","5,070.66","39.88M","0.37%"
"02/03/2020","5,076.67","5,118.27","5,140.36","5,060.09","25.03M","-0.77%"
"02/02/2020","5,115.92","5,153.95","5,153.95","5,112.02","12.09M","-0.78%"
"01/30/2020","5,156.19","5,165.99","5,178.29","5,154.39","37.01M","-0.17%"
"01/29/2020","5,165.06","5,175.45","5,211.34","5,163.78","37.80M","-0.25%"
"01/28/2020","5,178.26","5,167.24","5,203.87","5,167.24","31.71M","0.21%"
"01/27/2020","5,167.24","5,224.93","5,236.28","5,166.75","29.80M","-1.20%"
"01/26/2020","5,230.01","5,244.69","5,246.87","5,229.22","17.56M","-0.28%"
"01/23/2020","5,244.69","5,235.04","5,256.06","5,202.65","29.13M","0.20%"
"01/22/2020","5,234.02","5,184.53","5,234.02","5,183.48","30.31M","0.95%"
"01/21/2020","5,184.53","5,212.74","5,214.29","5,182.80","25.66M","-0.55%"
"01/20/2020","5,213.25","5,174.42","5,222.21","5,158.14","22.92M","0.76%"
"01/19/2020","5,174.00","5,180.14","5,189.97","5,169.86","24.48M","-0.10%"
"01/16/2020","5,179.12","5,174.05","5,184.34","5,156.85","27.05M","0.10%"
"01/15/2020","5,174.05","5,168.62","5,174.18","5,135.33","39.24M","0.11%"
"01/14/2020","5,168.62","5,113.75","5,168.62","5,104.83","41.07M","1.07%"
"01/13/2020","5,113.75","5,083.98","5,113.75","5,079.22","38.91M","0.59%"
"01/12/2020","5,083.98","5,075.69","5,089.44","5,075.69","14.78M","0.16%"
"01/09/2020","5,075.69","5,021.90","5,075.69","5,021.90","43.15M","1.12%"
"01/08/2020","5,019.36","5,053.39","5,053.39","4,995.82","24.15M","-0.74%"
"01/07/2020","5,056.75","5,007.68","5,056.75","5,007.68","21.71M","0.98%"
"01/06/2020","5,007.68","5,029.22","5,050.24","5,007.64","35.04M","-0.40%"
"01/05/2020","5,027.96","5,096.20","5,096.20","5,022.05","29.98M","-1.42%"
"01/02/2020","5,100.27","5,075.89","5,100.27","5,070.05","33.19M","0.48%"
"12/31/2019","5,075.77","5,091.62","5,096.35","5,064.40","114.30M","-0.31%"
"12/30/2019","5,091.62","5,073.02","5,094.90","5,059.40","78.91M","0.38%"
"12/29/2019","5,072.50","5,050.49","5,086.82","5,050.49","45.64M","0.44%"
"12/26/2019","5,050.49","5,103.10","5,103.66","5,050.49","43.34M","-1.03%"
"12/25/2019","5,103.10","5,083.39","5,103.10","5,079.95","7.16M","0.39%"
"12/24/2019","5,083.39","5,110.71","5,114.03","5,072.10","20.86M","-0.56%"
"12/23/2019","5,111.78","5,075.60","5,111.78","5,062.49","47.51M","0.71%"
"12/22/2019","5,075.49","5,092.41","5,092.41","5,047.10","19.13M","-0.33%"
"12/19/2019","5,092.41","5,092.80","5,099.59","5,077.90","83.36M","-0.05%"
"12/18/2019","5,094.86","5,059.13","5,095.23","5,055.89","46.98M","0.72%"
"12/17/2019","5,058.61","5,038.75","5,061.35","5,036.72","63.28M","0.39%"
"12/16/2019","5,038.75","5,028.01","5,046.38","5,027.42","34.67M","0.18%"
"12/15/2019","5,029.93","5,036.05","5,047.01","5,014.85","34.27M","-0.13%"
"12/12/2019","5,036.46","5,036.32","5,046.59","5,028.81","46.76M","-0.07%"
"12/11/2019","5,040.23","5,020.13","5,040.23","5,019.57","25.85M","0.40%"
"12/10/2019","5,020.13","5,023.04","5,035.45","5,018.78","44.02M","-0.06%"
"12/09/2019","5,023.04","5,043.39","5,043.39","5,016.48","31.74M","-0.40%"
"12/08/2019","5,043.39","5,045.06","5,045.06","5,029.96","19.28M","-0.06%"
"12/05/2019","5,046.61","5,047.97","5,047.97","5,026.75","27.36M","-0.03%"
"12/04/2019","5,047.97","5,033.34","5,060.39","5,030.34","103.77M","0.34%"
"11/28/2019","5,030.76","5,044.68","5,051.87","5,030.76","27.49M","-0.25%"
"11/27/2019","5,043.61","5,046.81","5,064.98","5,038.81","36.11M","-0.05%"
"11/26/2019","5,046.20","5,090.95","5,091.95","5,037.24","74.55M","-0.89%"
"11/25/2019","5,091.28","5,041.23","5,092.08","5,034.05","31.76M","0.99%"
"11/24/2019","5,041.23","5,046.89","5,047.24","5,030.54","29.13M","-0.01%"
"11/21/2019","5,041.73","5,092.70","5,098.33","5,039.08","40.42M","-1.00%"
"11/20/2019","5,092.70","5,086.83","5,092.70","5,054.14","23.31M","0.11%"
"11/19/2019","5,087.28","5,044.31","5,087.28","5,032.44","32.99M","0.80%"
"11/18/2019","5,046.91","5,062.28","5,101.25","5,042.31","42.41M","-0.27%"
"11/17/2019","5,060.63","5,137.62","5,138.38","5,051.68","51.11M","-1.50%"
"11/14/2019","5,137.62","5,069.83","5,137.75","5,055.03","29.48M","1.34%"
"11/13/2019","5,069.83","5,080.42","5,088.04","5,051.98","63.46M","-0.11%"
"11/12/2019","5,075.48","5,087.45","5,088.49","5,055.72","45.03M","-0.24%"
"11/11/2019","5,087.51","5,094.13","5,101.79","5,068.02","36.18M","-0.12%"
"11/10/2019","5,093.56","5,131.88","5,153.61","5,087.13","30.32M","-0.74%"
"11/07/2019","5,131.37","5,145.77","5,150.02","5,131.01","26.54M","-0.25%"
"11/06/2019","5,144.23","5,154.12","5,154.12","5,128.29","23.85M","-0.19%"
"11/05/2019","5,154.12","5,113.95","5,154.12","5,105.31","74.96M","0.86%"
"11/04/2019","5,110.34","5,113.33","5,114.56","5,091.34","36.85M","-0.06%"
"11/03/2019","5,113.33","5,108.96","5,142.11","5,103.08","27.03M","0.11%"
"10/31/2019","5,107.76","5,173.17","5,180.71","5,104.84","49.28M","-1.26%"
"10/30/2019","5,173.17","5,075.14","5,173.17","5,071.95","32.28M","1.93%"
"10/29/2019","5,075.14","5,134.70","5,154.68","5,073.79","39.19M","-1.16%"
"10/28/2019","5,134.70","5,148.65","5,173.65","5,134.70","40.64M","-0.27%"
"10/27/2019","5,148.55","5,163.56","5,172.02","5,141.71","22.63M","-0.28%"
"10/24/2019","5,163.09","5,152.15","5,181.11","5,146.88","48.68M","0.22%"
"10/23/2019","5,151.81","5,136.00","5,151.81","5,127.01","42.35M","0.31%"
"10/22/2019","5,135.94","5,102.42","5,135.94","5,098.75","23.09M","0.66%"
"10/21/2019","5,102.42","5,089.74","5,102.42","5,070.48","31.37M","0.25%"
"10/20/2019","5,089.74","5,093.29","5,093.51","5,067.49","12.81M","-0.07%"
"10/17/2019","5,093.29","5,085.74","5,093.29","5,059.75","37.74M","0.13%"
"10/16/2019","5,086.81","5,082.60","5,103.09","5,079.15","28.16M","0.10%"
"10/15/2019","5,081.53","5,088.31","5,088.63","5,063.74","58.67M","-0.13%"
"10/14/2019","5,087.98","5,090.89","5,095.76","5,065.83","34.34M","0.00%"
"10/13/2019","5,088.13","5,073.49","5,096.01","5,073.49","27.66M","0.29%"
"10/10/2019","5,073.49","5,053.05","5,073.49","5,043.68","26.71M","0.40%"
"10/09/2019","5,053.29","5,070.19","5,070.30","5,050.15","14.34M","-0.33%"
"10/08/2019","5,070.19","5,073.36","5,077.62","5,049.16","29.17M","-0.10%"
"10/07/2019","5,075.49","5,035.95","5,075.49","5,030.67","32.51M","0.79%"
"10/06/2019","5,035.95","5,027.96","5,045.52","5,024.28","20.70M","0.16%"
"10/03/2019","5,027.96","5,030.44","5,039.08","5,020.51","27.46M","-0.06%"
"10/02/2019","5,030.86","5,054.06","5,054.06","5,017.58","52.94M","-0.46%"
"10/01/2019","5,054.06","5,056.64","5,061.39","5,040.81","36.68M","-0.06%"
"09/30/2019","5,057.32","5,072.94","5,083.59","5,052.44","44.76M","-0.33%"
"09/29/2019","5,074.17","5,069.42","5,082.14","5,056.25","19.04M","0.09%"
"09/26/2019","5,069.42","5,090.59","5,093.07","5,062.39","25.32M","-0.37%"
"09/25/2019","5,088.46","5,075.24","5,088.69","5,054.30","25.12M","0.24%"
"09/24/2019","5,076.48","5,081.36","5,102.01","5,068.31","26.09M","0.02%"
"09/23/2019","5,075.30","5,123.12","5,125.94","5,072.63","37.29M","-0.93%"
"09/22/2019","5,122.70","5,125.06","5,134.40","5,107.99","22.10M","-0.04%"
"09/19/2019","5,124.72","5,155.55","5,157.74","5,083.33","109.69M","-0.61%"
"09/18/2019","5,156.07","5,173.86","5,173.86","5,144.50","44.00M","-0.28%"
"09/17/2019","5,170.66","5,155.38","5,170.72","5,132.05","71.31M","0.19%"
"09/16/2019","5,160.73","5,073.86","5,160.73","5,058.54","40.16M","1.71%"
"09/15/2019","5,073.86","5,096.09","5,096.66","5,070.22","28.36M","-0.44%"
"09/12/2019","5,096.09","5,106.50","5,117.42","5,088.41","42.90M","-0.20%"
"09/11/2019","5,106.50","5,095.51","5,106.55","5,072.80","42.68M","0.21%"
"09/10/2019","5,095.75","5,075.54","5,096.05","5,065.22","42.66M","0.39%"
"09/09/2019","5,075.88","5,104.42","5,113.54","5,065.41","45.99M","-0.58%"
"09/08/2019","5,105.25","5,116.22","5,133.30","5,103.22","36.97M","-0.17%"
"09/05/2019","5,114.09","5,117.06","5,156.46","5,102.31","43.40M","-0.21%"
"09/04/2019","5,124.87","5,105.12","5,125.60","5,096.56","50.72M","0.39%"
"09/03/2019","5,105.12","5,156.83","5,173.05","5,105.12","52.52M","-0.99%"
"09/02/2019","5,156.01","5,122.07","5,159.21","5,108.20","57.34M","0.68%"
"09/01/2019","5,121.17","5,165.57","5,166.09","5,110.02","24.90M","-0.86%"
"08/29/2019","5,165.57","5,132.68","5,165.57","5,107.83","27.28M","0.72%"
"08/28/2019","5,128.56","5,130.75","5,135.28","5,105.68","51.49M","-0.04%"
"08/27/2019","5,130.75","4,993.32","5,130.75","4,993.32","81.90M","2.67%"
"08/26/2019","4,997.22","4,968.17","5,006.83","4,967.10","40.46M","0.58%"
"08/25/2019","4,968.17","5,035.90","5,035.90","4,964.35","52.16M","-1.41%"
"08/22/2019","5,038.99","5,041.69","5,075.15","5,038.00","63.35M","-0.03%"
"08/21/2019","5,040.62","5,067.68","5,067.68","5,039.91","60.98M","-0.56%"
"08/20/2019","5,068.81","5,027.62","5,087.34","5,015.92","56.14M","0.82%"
"08/19/2019","5,027.62","5,039.13","5,044.26","5,020.98","36.75M","-0.23%"
"08/18/2019","5,039.13","5,055.79","5,055.79","5,021.65","32.15M","-0.31%"
"08/15/2019","5,054.66","5,052.71","5,055.60","5,011.85","41.52M","0.02%"
"08/14/2019","5,053.77","5,100.37","5,134.54","5,053.30","50.51M","-0.85%"
"08/08/2019","5,097.17","5,118.56","5,124.68","5,087.01","72.12M","-0.42%"
"08/07/2019","5,118.76","5,081.21","5,141.05","5,080.15","51.53M","0.74%"
"08/06/2019","5,080.97","5,082.09","5,116.94","5,060.94","48.96M","-0.04%"
"08/05/2019","5,083.16","5,179.93","5,181.82","5,065.40","65.57M","-1.87%"
"08/04/2019","5,179.93","5,229.09","5,229.44","5,179.70","35.36M","-0.96%"
"08/01/2019","5,230.22","5,316.83","5,320.07","5,215.19","41.91M","-1.65%"
"07/31/2019","5,317.90","5,331.14","5,337.05","5,299.54","109.85M","-0.25%"
"07/30/2019","5,331.14","5,364.13","5,366.91","5,317.75","65.36M","-0.59%"
"07/29/2019","5,362.83","5,348.66","5,362.83","5,309.39","85.13M","0.27%"
"07/28/2019","5,348.50","5,387.77","5,391.38","5,347.34","61.86M","-0.73%"
"07/25/2019","5,387.77","5,356.60","5,387.77","5,350.59","115.77M","0.57%"
"07/24/2019","5,357.01","5,342.80","5,360.15","5,328.83","100.06M","0.25%"
"07/23/2019","5,343.86","5,300.15","5,343.86","5,288.91","103.82M","0.85%"
"07/22/2019","5,299.08","5,235.37","5,303.94","5,233.28","147.57M","1.22%"
"07/21/2019","5,235.37","5,217.07","5,257.17","5,217.07","28.16M","0.33%"
"07/18/2019","5,218.13","5,086.41","5,324.28","5,086.41","100.36M","2.70%"
"07/17/2019","5,080.74","5,077.22","5,082.28","5,059.68","22.40M","0.07%"
"07/16/2019","5,077.22","5,043.08","5,078.87","5,037.15","50.80M","0.70%"
"07/15/2019","5,041.95","5,056.26","5,056.74","5,037.54","40.08M","-0.28%"
"07/14/2019","5,056.26","5,052.43","5,073.30","5,052.22","50.19M","0.08%"
"07/11/2019","5,052.43","5,026.74","5,055.79","5,017.40","64.86M","0.51%"
"07/10/2019","5,026.74","5,023.23","5,026.74","5,008.31","27.40M","0.09%"
"07/09/2019","5,022.17","5,010.55","5,023.52","4,995.71","23.24M","0.23%"
"07/08/2019","5,010.55","5,003.28","5,011.73","4,994.03","41.16M","0.15%"
"07/07/2019","5,003.28","5,003.07","5,018.51","4,993.66","20.59M","0.08%"
"07/04/2019","4,999.46","4,980.29","4,999.46","4,974.76","24.69M","0.20%"
"07/03/2019","4,989.38","4,972.13","4,989.38","4,962.00","39.49M","0.21%"
"07/02/2019","4,978.84","4,973.40","4,992.02","4,968.60","22.69M","0.01%"
"07/01/2019","4,978.56","4,980.63","5,008.23","4,970.76","28.02M","-0.03%"
"06/30/2019","4,979.95","4,991.18","4,998.59","4,978.98","54.08M","-0.24%"
"06/27/2019","4,991.69","4,956.67","5,008.02","4,951.94","32.80M","0.72%"
"06/26/2019","4,955.95","4,988.28","4,990.81","4,952.39","40.26M","-0.67%"
"06/25/2019","4,989.41","5,014.20","5,014.20","4,958.52","36.84M","-0.52%"
"06/24/2019","5,015.34","4,987.47","5,015.34","4,981.34","40.02M","0.53%"
"06/23/2019","4,988.78","5,043.69","5,043.69","4,986.23","30.07M","-1.11%"
"06/20/2019","5,044.72","4,975.57","5,044.72","4,958.93","140.00M","1.40%"
"06/19/2019","4,974.84","4,913.47","4,974.84","4,913.47","46.38M","1.27%"
"06/18/2019","4,912.33","4,902.10","4,935.92","4,899.83","22.56M","0.23%"
"06/17/2019","4,901.08","4,955.26","4,968.17","4,901.04","29.29M","-1.09%"
"06/16/2019","4,955.26","4,964.20","4,967.30","4,923.85","20.67M","-0.17%"
"06/13/2019","4,963.69","4,988.59","4,989.62","4,935.77","32.25M","-0.54%"
"06/12/2019","4,990.86","4,965.87","4,993.29","4,955.54","33.94M","0.50%"
"06/11/2019","4,965.87","4,996.70","4,996.70","4,965.67","27.41M","-0.64%"
"06/10/2019","4,997.83","4,953.36","5,010.23","4,953.36","40.64M","0.84%"
"06/09/2019","4,956.25","5,004.61","5,040.18","4,940.48","18.46M","-0.95%"
"05/30/2019","5,003.59","4,865.69","5,006.15","4,865.69","79.97M","2.82%"
"05/29/2019","4,866.18","4,791.42","4,866.18","4,785.83","27.95M","1.56%"
"05/28/2019","4,791.42","4,779.22","4,812.15","4,758.98","129.47M","0.26%"
"05/27/2019","4,779.22","4,775.58","4,817.12","4,772.60","26.87M","0.09%"
"05/26/2019","4,774.75","4,777.68","4,823.09","4,768.76","19.39M","-0.05%"
"05/23/2019","4,777.32","4,750.01","4,777.32","4,747.64","43.56M","0.57%"
"05/22/2019","4,750.01","4,782.48","4,791.62","4,739.65","33.11M","-0.68%"
"05/21/2019","4,782.48","4,732.94","4,799.08","4,732.94","43.49M","1.05%"
"05/20/2019","4,732.94","4,729.61","4,736.27","4,705.05","42.00M","0.00%"
"05/19/2019","4,732.96","4,718.54","4,732.96","4,670.97","48.15M","0.29%"
"05/16/2019","4,719.26","4,779.61","4,787.97","4,719.26","37.47M","-1.22%"
"05/15/2019","4,777.57","4,802.70","4,840.98","4,772.33","39.58M","-0.52%"
"05/14/2019","4,802.58","4,930.35","4,930.35","4,700.22","71.82M","-2.57%"
"05/13/2019","4,929.22","5,097.79","5,097.79","4,909.29","53.80M","-3.32%"
"05/12/2019","5,098.30","5,052.80","5,104.06","5,052.57","33.01M","0.90%"
"05/09/2019","5,052.80","5,125.26","5,129.89","5,028.56","33.90M","-1.39%"
"05/08/2019","5,123.94","5,123.88","5,123.94","5,056.76","25.88M","-0.01%"
"05/07/2019","5,124.48","5,146.48","5,166.98","5,108.98","30.03M","-0.42%"
