Date,Open,High,Low,Close,Volume
3/7/18,3467.75,3483.08,3447.55,3450.69,302399200
3/8/18,3462.33,3483.79,3461.9,3480.44,197278496
3/9/18,3494.43,3495.09,3476.24,3485.57,215293040
3/12/18,3519.25,3551.78,3517.73,3540.19,200552096
3/13/18,3533.53,3555.98,3530.96,3553.73,258441296
3/14/18,3541.39,3548.94,3523.65,3539.41,216774816
3/15/18,3520.81,3535.11,3506.45,3517.73,240691856
3/16/18,3514.7,3519.54,3501.81,3512.14,311102688
3/19/18,3515.95,3515.95,3493.52,3498.29,145115072
3/20/18,3484.42,3516.4,3481.8,3513.31,169847584
3/21/18,3516.32,3523.87,3503.26,3511.13,171222400
3/22/18,3523.83,3526.25,3485.47,3491.37,159363696
3/23/18,3436,3436.08,3394.55,3421.39,353448192
3/26/18,3400.95,3430.2,3388.9,3412.46,256372992
3/27/18,3438.54,3443.43,3423.98,3439.35,225254800
3/28/18,3424.1,3424.1,3382.78,3382.78,246250112
3/29/18,3393.86,3440.42,3392.67,3427.97,353012800
4/2/18,3439.04,3443.88,3424.03,3430.76,170227872
4/3/18,3405.31,3412.15,3387.38,3412.15,253511456
4/4/18,3420.85,3421.02,3338.96,3339.7,293355872
4/5/18,3389.19,3422.64,3383.21,3405.65,219012704
4/6/18,3392.76,3449.4,3384.26,3442.5,306713728
4/9/18,3432.28,3456.81,3413.9,3449.96,195164000
4/10/18,3438.75,3473.84,3434.54,3466.38,232264192
4/11/18,3478.03,3488.33,3472.32,3479.76,218050208
4/12/18,3485.61,3493.66,3462.71,3468.61,220601488
4/13/18,3486.67,3506.8,3482.99,3501.3,211556304
4/16/18,3509.26,3509.48,3482.29,3497.19,162992128
4/17/18,3505.31,3509.68,3490.76,3498.2,210319072
4/18/18,3521.69,3560.38,3521.19,3557.82,251227104
4/19/18,3573.06,3604.06,3569.11,3598.73,231435200
4/20/18,3578.85,3596.54,3560.21,3573.38,227722096
4/23/18,3566.63,3591.84,3563.19,3579.54,195922448
4/24/18,3581.73,3587.23,3561.14,3584.56,235960192
4/25/18,3562.37,3574.91,3555.23,3568.01,223134800
4/26/18,3582.61,3582.61,3557.49,3570.02,240142096
4/27/18,3586.08,3588.3,3569.27,3577.21,186884496
4/30/18,3604.1,3628.43,3595.63,3613.93,255868544
5/2/18,3624.2,3641.65,3607.25,3615.28,277667072
5/3/18,3585.3,3587.69,3556.42,3575.68,165840880
5/4/18,3574.54,3575.5,3533.18,3545.38,176065072
5/7/18,3553.47,3554.9,3527.7,3532.86,149142400
5/8/18,3536.85,3550.07,3522.37,3543.17,199946496
5/9/18,3558.93,3562.42,3526.9,3548.54,206164896
5/10/18,3547.31,3551.28,3536.54,3537.59,224182896
5/11/18,3559.07,3576.18,3541.17,3570.17,306597088
5/14/18,3569.11,3574.21,3550.78,3562.46,204278512
5/15/18,3557.05,3566.75,3540.23,3540.23,331243104
5/16/18,3532.97,3552.92,3521.94,3533.05,338672224
5/17/18,3545.9,3550.62,3530.38,3536.76,236291152
5/18/18,3528.41,3534.55,3517.73,3529.27,232509792
5/21/18,3545.21,3569.36,3544.1,3548.23,211293600
5/22/18,3542.8,3563.14,3537.03,3543.18,160429216
5/23/18,3540.92,3541.39,3493.93,3496.27,308069472
5/24/18,3508.87,3532.92,3497.98,3528.92,260569120
5/25/18,3522.99,3532.36,3511.88,3513.23,249310592
5/28/18,3517.37,3529.26,3513.77,3518.48,219608272
5/30/18,3453.48,3467.08,3437.12,3443.95,514013888
5/31/18,3476.46,3478.05,3428.18,3428.18,1129509120
6/1/18,3423.5,3433.2,3417.86,3427.51,413675040
6/4/18,3441.2,3467.48,3441.2,3467.48,194075392
6/5/18,3479.78,3487.13,3472.48,3483.16,286440288
6/6/18,3483.32,3492.34,3460.29,3467.81,354082176
6/7/18,3488.25,3489.41,3460.49,3473.08,273025568
6/8/18,3460.26,3474.09,3432.18,3436.37,318114464
6/11/18,3450.07,3452.98,3427.14,3441.69,220591248
6/12/18,3438.58,3449.4,3428.54,3430.69,219943392
6/13/18,3429.86,3432.64,3388.92,3392.51,243818656
6/14/18,3380.37,3388.88,3345.18,3356.73,466035008
6/18/18,3314.08,3335.68,3299.81,3324.04,309648480
6/19/18,3324.99,3341.64,3297.25,3301.35,328582816
6/20/18,3309.93,3333.93,3297.67,3315.9,242969696
6/21/18,3315.23,3326.59,3299.05,3300,230763040
6/22/18,3289.43,3294.84,3270.15,3287.4,265501600
6/25/18,3279.53,3285.69,3246.92,3260.84,236021728
6/26/18,3245.79,3285.23,3237.77,3280.87,243834400
6/27/18,3281.71,3296.29,3251.36,3254.77,276320512
6/28/18,3245.92,3266.69,3244.18,3257.57,255048992
6/29/18,3269.2,3286.92,3251.12,3268.7,292601824
7/2/18,3277.43,3280.19,3231.68,3238.94,209289696
7/3/18,3245.67,3254.88,3218.62,3235.9,268721216
7/4/18,3230.59,3249.52,3224.62,3244.89,220444608
7/5/18,3247.37,3265.59,3239.14,3256.71,212071872
7/6/18,3232.96,3233.84,3176.26,3191.82,394698112
7/9/18,3197.79,3233.43,3196.15,3228.82,289550496
7/10/18,3259.15,3274.85,3249.85,3274.83,316048896
7/11/18,3239.43,3251.52,3220.15,3249.08,269217536
7/12/18,3247.86,3263.42,3240.22,3253.01,256828256
7/13/18,3257.53,3265.92,3251.85,3260.35,191959808
7/16/18,3260.83,3267.11,3231.09,3232.79,169603696
